graph,method,n,e,real communities,found communities,time,m_nmimodularity,pcov,pper
polblogs,louvain,1224,16718,2,12,234,0.63192590916034,0.4271708844379839,0.9200861347051082,0.5671698224124755
polblogs,leiden,1224,16718,2,12,36,0.6380582344412429,0.4271695462936472,0.9220002392630697,0.5611562695397047
polblogs,label_propagation,1224,16718,2,12,40,0.671794464221508,0.4262108946817291,0.9266658691231009,0.5334880477129528
polblogs,greedy_modularity,1224,16718,2,12,4182,0.6517823827076691,0.427070273157908,0.9228376600071779,0.5547833197056419
polblogs,eigenvector,1224,16718,2,3,71,0.6880577834620495,0.4242786929738878,0.925888264146429,0.5152456458189708
polblogs,infomap,1224,16718,2,33,449,0.516281647495278,0.42488085971437184,0.9028591936834549,0.6184994575644376
polblogs,markov_clustering,1224,16718,2,45,478,0.44089787760484683,0.3947871671414263,0.8204330661562388,0.6804266269058727
polblogs,surprise_communities,1224,16718,2,404,41,0.22955926416577982,0.336776395408688,0.6857279578896998,0.9334126945954179
polblogs,walktrap,1224,16718,2,11,294,0.03511069806164244,0.0025066001643756276,0.9982055269769111,0.06903761777264736
polblogs,df_node_similarity,1224,16718,2,4,3712,0.4243845743580047,0.2900269329813379,0.7348965187223352,0.6178007043646022
